zakaznik,datum_od,datum_do,zakazka
282,07/08/2017,1/20/2020,161
376,18/07/2019,10/6/2019,500
176,08/03/2016,1/24/2020,20
91,29/03/2016,10/16/2019,36
272,21/08/2013,6/27/2020,35
369,15/12/2013,11/11/2019,188
1,23/01/2013,2/22/2020,539
318,08/08/2018,12/29/2019,43
267,07/11/2014,6/23/2020,107
389,12/01/2018,5/3/2020,545
288,23/08/2011,6/30/2020,30
389,24/03/2015,10/17/2019,428
31,12/09/2016,12/2/2019,380
377,21/02/2014,1/22/2020,373
382,06/01/2016,10/5/2019,714
167,28/06/2019,6/21/2020,741
319,10/02/2015,10/6/2019,538
190,30/11/2017,1/31/2020,730
92,06/03/2012,6/9/2020,489
59,16/11/2012,5/18/2020,243
382,05/05/2017,4/11/2020,202
254,10/07/2010,3/14/2020,518
276,12/04/2019,2/16/2020,659
230,26/08/2016,4/2/2020,668
39,09/05/2014,8/24/2019,583
331,08/11/2017,5/16/2020,258
82,29/05/2013,8/30/2019,95
39,10/02/2016,10/27/2019,255
190,19/01/2012,2/20/2020,348
373,04/04/2011,5/6/2020,661
89,16/11/2010,5/7/2020,299
160,27/12/2012,3/19/2020,580
329,30/04/2017,4/13/2020,670
370,08/04/2015,9/2/2019,299
109,28/07/2019,3/22/2020,740
233,13/11/2010,10/13/2019,246
44,25/10/2014,6/24/2020,545
379,21/02/2015,2/1/2020,304
242,22/09/2012,12/25/2019,717
129,17/01/2019,12/28/2019,596
391,11/05/2018,12/30/2019,42
43,21/02/2019,6/6/2020,37
120,13/02/2018,7/22/2019,125
156,27/10/2013,9/23/2019,691
137,07/11/2016,1/24/2020,335
329,23/05/2017,2/17/2020,98
90,27/10/2017,7/6/2019,160
264,12/04/2020,11/11/2019,118
345,04/08/2012,2/18/2020,208
222,08/01/2011,8/20/2019,612
21,21/06/2012,4/16/2020,75
145,12/03/2018,3/1/2020,569
225,26/04/2015,4/14/2020,88
345,16/02/2013,11/2/2019,240
151,20/02/2018,6/6/2020,296
254,03/05/2017,10/29/2019,292
3,17/08/2013,5/29/2020,587
280,09/06/2018,9/22/2019,584
345,14/04/2012,11/19/2019,629
41,06/09/2017,1/10/2020,238
96,14/11/2015,3/13/2020,171
139,29/03/2019,3/24/2020,718
182,20/01/2020,2/8/2020,787
385,20/02/2011,2/10/2020,146
151,06/06/2014,1/14/2020,152
178,07/02/2018,6/26/2020,558
155,10/08/2010,3/19/2020,3
178,29/11/2016,1/9/2020,740
124,18/08/2010,8/18/2019,124
388,28/07/2016,2/26/2020,280
283,01/02/2014,12/20/2019,104
210,06/08/2013,2/20/2020,267
351,19/03/2017,2/6/2020,661
114,05/02/2015,2/14/2020,763
217,08/06/2020,7/10/2019,398
222,24/03/2014,9/9/2019,134
148,23/04/2011,4/2/2020,612
254,06/10/2016,12/2/2019,658
317,05/10/2019,4/18/2020,489
125,10/09/2017,12/7/2019,397
43,06/02/2013,9/29/2019,371
264,16/01/2016,9/10/2019,539
219,03/11/2014,3/25/2020,518
96,15/01/2016,6/29/2020,29
5,24/02/2014,9/23/2019,511
191,22/04/2015,9/27/2019,100
212,11/05/2015,4/11/2020,762
264,18/12/2010,3/10/2020,470
184,25/08/2011,1/9/2020,158
395,07/04/2018,9/15/2019,340
353,30/07/2017,1/11/2020,226
364,20/01/2018,2/4/2020,645
15,14/08/2016,8/21/2019,349
132,24/11/2019,9/22/2019,680
272,09/09/2012,8/22/2019,731
140,21/02/2017,7/12/2019,720
277,22/08/2016,11/21/2019,64
382,29/05/2011,7/26/2019,468
141,09/07/2016,2/22/2020,565
40,01/12/2014,6/7/2020,415
373,25/09/2016,2/12/2020,103
265,14/09/2013,2/13/2020,16
366,28/07/2012,12/2/2019,791
193,04/01/2017,11/29/2019,1
191,20/09/2014,7/18/2019,304
128,08/02/2020,3/30/2020,701
6,05/10/2015,9/3/2019,663
180,25/01/2011,1/23/2020,579
102,01/01/2012,2/15/2020,729
364,17/07/2017,2/4/2020,253
125,14/02/2020,2/21/2020,507
151,27/09/2012,1/23/2020,100
257,11/09/2017,10/24/2019,467
84,14/04/2012,2/12/2020,98
368,29/09/2015,2/9/2020,22
175,24/07/2013,7/22/2019,676
129,24/05/2019,12/15/2019,520
24,26/10/2014,4/27/2020,256
253,08/03/2020,9/20/2019,303
396,21/06/2020,9/20/2019,310
359,26/11/2010,3/19/2020,464
98,31/10/2016,7/8/2019,57
224,13/08/2015,2/9/2020,339
14,23/07/2019,8/1/2019,475
332,17/09/2010,6/18/2020,707
343,03/02/2014,1/12/2020,522
215,08/10/2015,8/24/2019,755
99,17/10/2011,3/7/2020,96
17,13/02/2011,6/15/2020,669
154,26/01/2019,7/25/2019,258
12,24/06/2013,3/27/2020,292
4,16/10/2016,3/18/2020,617
38,06/03/2019,2/28/2020,599
3,18/12/2014,11/15/2019,231
289,21/03/2016,9/18/2019,793
374,15/12/2014,1/15/2020,114
338,05/07/2019,8/25/2019,791
209,01/06/2012,8/27/2019,413
179,01/02/2018,4/21/2020,204
139,09/09/2013,4/14/2020,558
76,07/11/2019,12/30/2019,153
207,08/05/2013,5/15/2020,284
143,24/04/2011,1/14/2020,679
344,18/11/2015,11/8/2019,567
38,02/05/2015,2/17/2020,81
372,12/07/2011,6/9/2020,647
160,15/03/2017,8/9/2019,310
224,16/03/2020,8/10/2019,589
8,23/01/2018,5/28/2020,132
239,30/10/2015,6/23/2020,657
379,21/08/2011,12/10/2019,617
304,29/01/2020,3/29/2020,544
26,26/04/2016,5/8/2020,65
188,27/07/2013,8/31/2019,754
43,04/04/2017,11/4/2019,530
309,26/02/2019,8/20/2019,470
270,06/12/2019,5/20/2020,116
222,22/10/2019,7/5/2019,431
23,07/10/2014,4/27/2020,16
157,21/02/2011,5/27/2020,193
224,09/04/2012,3/16/2020,583
86,30/08/2013,6/2/2020,275
246,12/02/2013,10/20/2019,238
85,25/02/2017,1/25/2020,164
28,17/11/2018,6/24/2020,18
336,07/03/2017,6/26/2020,557
145,07/10/2010,8/4/2019,638
135,17/06/2015,2/23/2020,483
341,13/03/2014,12/10/2019,662
210,19/12/2012,12/28/2019,104
255,09/09/2017,1/2/2020,54
170,14/01/2011,3/25/2020,120
172,27/09/2013,2/1/2020,341
203,25/02/2011,6/3/2020,475
24,27/06/2018,3/7/2020,506
14,09/09/2015,12/8/2019,529
115,21/12/2017,10/8/2019,67
160,13/10/2019,8/8/2019,555
230,19/05/2012,4/5/2020,603
54,15/08/2017,9/21/2019,509
295,29/01/2017,9/10/2019,248
